,size,total_sqft,bath,balcony,price,site_location,price_per_sq_ft
0,2.0,1056.0,2.0,1.0,39.07,Alandi Road,3699.810606060606
1,3.0,1600.0,3.0,2.0,260.0,Alandi Road,16250.0
2,1.0,416.0,1.0,1.0,17.19,Alandi Road,4132.211538461539
3,2.0,1075.0,2.0,2.0,52.43,Alandi Road,4877.209302325581
4,2.0,1020.0,2.0,1.0,46.5,Alandi Road,4558.823529411765
5,2.0,1300.0,2.0,3.0,57.0,Alandi Road,4384.615384615385
6,2.0,1102.0,2.0,0.0,52.0,Alandi Road,4718.693284936479
7,3.0,1360.0,3.0,0.0,47.6,Alandi Road,3500.0
8,7.0,1400.0,6.0,3.0,200.0,Alandi Road,14285.714285714286
9,2.0,1027.0,2.0,2.0,44.0,Alandi Road,4284.323271665044
10,4.0,7000.0,4.0,3.0,550.0,Alandi Road,7857.142857142857
11,3.0,1639.0,2.0,1.0,40.98,Alandi Road,2500.305064063453
12,3.0,1830.0,4.0,2.0,150.0,Alandi Road,8196.72131147541
13,2.0,2480.0,2.0,1.0,160.0,Alandi Road,6451.612903225807
14,3.0,1564.0,3.0,1.0,101.0,Alandi Road,6457.800511508952
15,2.0,1350.0,2.0,1.0,79.0,Alandi Road,5851.851851851852
16,3.0,1300.0,3.0,2.0,45.0,Alandi Road,3461.5384615384614
17,2.0,1230.0,2.0,2.0,80.0,Alandi Road,6504.065040650406
18,2.0,1565.0,2.0,2.0,69.0,Alandi Road,4408.945686900958
19,2.0,1135.0,2.0,2.0,68.0,Alandi Road,5991.1894273127755
20,2.0,1089.0,2.0,1.0,40.0,Alandi Road,3673.094582185491
21,3.0,1500.0,2.0,0.0,85.0,Alandi Road,5666.666666666667
22,2.0,945.0,2.0,1.0,35.0,Alandi Road,3703.703703703704
23,3.0,1855.0,3.0,2.0,145.0,Alandi Road,7816.711590296496
24,3.0,1750.0,3.0,2.0,130.0,Alandi Road,7428.571428571428
25,2.0,1065.0,2.0,2.0,55.0,Alandi Road,5164.319248826291
26,2.0,674.0,1.0,1.0,19.9,Alandi Road,2952.522255192878
27,3.0,1150.0,2.0,2.0,77.5,Alandi Road,6739.130434782609
28,3.0,1907.0,2.0,1.0,200.0,Alandi Road,10487.676979549029
29,3.0,1800.0,4.0,1.0,125.0,Alandi Road,6944.444444444444
30,2.0,1041.0,2.0,2.0,54.0,Alandi Road,5187.319884726225
31,3.0,1310.0,2.0,1.0,37.84,Alandi Road,2888.549618320611
32,2.0,1130.0,2.0,1.0,45.2,Alandi Road,4000.0
33,3.0,2072.0,4.0,2.0,155.0,Alandi Road,7480.694980694981
34,2.0,1210.0,2.0,1.0,75.0,Alandi Road,6198.347107438017
35,4.0,2790.0,5.0,3.0,198.0,Alandi Road,7096.774193548387
36,2.0,1250.0,2.0,2.0,72.0,Alandi Road,5760.0
37,2.0,1338.0,2.0,1.0,103.0,Alandi Road,7698.056801195815
38,3.0,1350.0,3.0,1.0,60.0,Alandi Road,4444.444444444444
39,2.0,1049.0,2.0,1.0,51.0,Alandi Road,4861.773117254528
40,2.0,1185.0,2.0,1.0,51.15,Alandi Road,4316.455696202532
41,2.0,1181.0,2.0,1.0,75.0,Alandi Road,6350.550381033023
42,2.0,1028.0,2.0,1.0,42.0,Alandi Road,4085.603112840467
43,2.0,900.0,2.0,2.0,42.0,Alandi Road,4666.666666666667
44,3.0,925.0,2.0,1.0,49.82,Alandi Road,5385.945945945946
45,2.0,1100.0,2.0,1.0,50.0,Alandi Road,4545.454545454545
46,3.0,1370.0,2.0,1.0,54.79,Alandi Road,3999.2700729927005
47,2.0,1265.0,2.0,2.0,82.0,Alandi Road,6482.213438735178
48,2.0,1520.0,2.0,3.0,62.0,Alandi Road,4078.9473684210525
49,2.0,950.0,2.0,1.0,46.5,Alandi Road,4894.736842105263
50,2.0,600.0,4.0,1.0,110.0,Alandi Road,18333.333333333332
51,2.0,1105.0,2.0,1.0,39.5,Alandi Road,3574.660633484163
52,3.0,1665.0,3.0,2.0,74.93,Alandi Road,4500.3003003003005
53,3.0,1850.0,3.0,2.0,90.0,Alandi Road,4864.864864864865
54,4.0,2700.0,4.0,2.0,350.0,Alandi Road,12962.962962962964
55,3.0,1718.0,3.0,3.0,223.0,Alandi Road,12980.209545983702
56,2.0,1339.0,2.0,1.0,53.56,Alandi Road,4000.0
57,3.0,600.0,2.0,1.0,80.0,Alandi Road,13333.333333333334
58,3.0,1350.0,2.0,2.0,47.24,Alandi Road,3499.259259259259
59,4.0,2658.0,5.0,3.0,189.0,Alandi Road,7110.609480812641
60,2.0,1300.0,2.0,2.0,98.0,Alandi Road,7538.461538461538
61,3.0,1550.0,3.0,2.0,78.0,Alandi Road,5032.258064516129
62,2.0,1000.0,2.0,1.0,25.0,Alandi Road,2500.0
63,2.0,1165.0,2.0,1.0,135.0,Alandi Road,11587.982832618025
